ATLPIXIBLPS:Iseg/CAN_ISEG/Y2507A2_HV01/1A/Ch00.Actual.VMeas	LI_S01_C_M1_HV_VMeas
2021.08.30 15:32:52.514	95.550415039062
2021.08.30 15:32:54.516	34.235736846924
2021.08.30 15:32:57.518	0.10883390158415
2021.08.31 10:22:36.013	39.415500640869
2021.08.31 10:22:38.014	121.46566772461
2021.08.31 10:22:41.016	217.81742858887
2021.08.31 10:22:43.018	277.23568725586
2021.08.31 10:22:46.020	394.00543212891
2021.08.31 10:22:48.021	399.63461303711
2021.08.31 11:23:11.340	399.99765014648
2021.08.31 12:23:26.673	399.99978637695
2021.08.31 13:23:42.002	399.99938964844
2021.08.31 14:24:02.385	400.00119018555
2021.08.31 15:24:17.742	400.0012512207
2021.08.31 16:24:40.077	399.99774169922
2021.08.31 17:24:55.408	399.9997253418
2021.08.31 18:25:10.755	400.00247192383
2021.08.31 19:25:28.101	399.99905395508
2021.08.31 20:25:43.582	400.0022277832
2021.08.31 21:25:58.894	400.00140380859
2021.08.31 22:26:16.475	400.00088500977
2021.08.31 23:26:34.799	399.99829101562
2021.09.01 00:26:49.250	400.00128173828
2021.09.01 01:27:04.727	399.99807739258
2021.09.01 02:27:20.098	399.99835205078
2021.09.01 03:27:35.422	399.99822998047
2021.09.01 04:27:50.759	400.00073242188
2021.09.01 05:28:06.094	399.99807739258
2021.09.01 06:28:20.624	400.00033569336
2021.09.01 07:28:36.046	399.99826049805
2021.09.01 08:28:54.367	400.00079345703
2021.09.01 09:29:11.681	399.99975585938
2021.09.01 10:29:27.034	399.99938964844
2021.09.01 11:29:42.343	400.0007019043
2021.09.01 12:29:57.763	399.99862670898
2021.09.01 13:30:13.091	399.99661254883
2021.09.01 14:30:28.391	399.99594116211
2021.09.01 15:30:43.732	400.00106811523
2021.09.01 16:30:59.075	400.00006103516
2021.09.01 17:31:14.621	399.99960327148
2021.09.01 17:55:42.569	388.62008666992
2021.09.01 17:55:45.572	360.09213256836
2021.09.01 18:56:00.142	360.00033569336
2021.09.01 19:56:15.717	359.99835205078
2021.09.01 20:56:33.218	360.00051879883
2021.09.01 21:56:51.571	360.00115966797
2021.09.01 22:57:05.954	360.00064086914
2021.09.01 23:57:24.324	360.00277709961
2021.09.02 00:57:39.623	360.00103759766
2021.09.02 01:57:56.952	359.99920654297
2021.09.02 02:58:12.441	360.00088500977
2021.09.02 03:58:32.719	360.00250244141
2021.09.02 04:58:51.068	359.99969482422
2021.09.02 05:59:05.553	359.99728393555
2021.09.02 06:59:20.895	359.99945068359
2021.09.02 07:59:36.294	360.00054931641
2021.09.02 08:59:51.620	359.99847412109
2021.09.02 09:44:33.349	399.94473266602
2021.09.02 10:44:48.749	399.99996948242
2021.09.02 11:45:04.166	399.99884033203
2021.09.02 12:45:18.498	399.99954223633
2021.09.02 13:45:33.824	399.99932861328
2021.09.02 14:45:49.131	399.9997253418
2021.09.02 15:46:04.455	399.99942016602
2021.09.02 16:46:19.796	399.99871826172
2021.09.02 17:46:35.279	399.99826049805
2021.09.02 18:28:25.969	327.49380493164
2021.09.02 18:28:27.971	320.09780883789
2021.09.02 19:29:34.298	320.00015258789
2021.09.02 20:29:48.758	319.99822998047
2021.09.02 21:30:04.106	320.0009765625
2021.09.02 22:30:19.395	320.00134277344
2021.09.02 23:30:37.840	320.00009155273
